iter	Passed	Remaining
0	48	48270
1	48	24429
2	49	16388
3	49	12374
4	50	9963
5	50	8354
6	50	7222
7	51	6358
8	51	5689
9	52	5150
10	52	4711
11	52	4343
12	53	4032
13	53	3764
14	53	3536
15	54	3332
16	54	3155
17	54	2996
18	55	2855
19	55	2727
20	56	2612
21	56	2516
22	56	2419
23	57	2330
24	57	2250
25	58	2175
26	58	2104
27	58	2038
28	59	1977
29	59	1921
30	59	1866
31	60	1816
32	60	1770
33	60	1726
34	61	1684
35	61	1656
36	62	1620
37	62	1585
38	62	1550
39	63	1518
40	63	1488
41	63	1459
42	64	1432
43	64	1404
44	64	1379
45	65	1355
46	65	1332
47	65	1308
48	66	1286
49	66	1267
50	66	1246
51	67	1227
52	67	1209
53	67	1190
54	68	1173
55	68	1157
56	69	1141
57	69	1126
58	69	1112
59	70	1097
60	70	1083
61	70	1069
62	71	1056
63	71	1043
64	71	1030
65	72	1019
66	72	1007
67	72	993
68	72	982
69	73	971
70	73	961
71	73	951
72	74	940
73	74	930
74	74	921
75	74	911
76	75	901
77	75	891
78	75	881
79	75	872
80	76	863
81	76	854
82	76	846
83	76	837
84	76	828
85	77	820
86	77	811
87	77	804
88	77	797
89	78	789
90	78	782
91	78	775
92	78	769
93	79	762
94	79	755
95	79	749
96	79	742
97	80	736
98	80	730
99	80	724
100	80	718
101	80	712
102	81	706
103	81	701
104	81	695
105	81	690
106	82	685
107	82	679
108	82	674
109	82	669
110	83	665
111	83	660
112	83	655
113	83	651
114	84	646
115	84	641
116	84	637
117	84	633
118	84	628
119	85	624
120	85	620
121	85	616
122	85	611
123	85	607
124	86	603
125	86	599
126	86	595
127	86	591
128	87	587
129	87	584
130	87	580
131	87	577
132	88	573
133	88	570
134	88	566
135	88	563
136	88	560
137	89	556
138	89	553
139	89	550
140	89	547
141	90	544
142	90	541
143	90	538
144	90	535
145	91	532
146	91	529
147	91	526
148	91	523
149	92	521
150	92	518
151	92	516
152	92	513
153	92	510
154	93	508
155	93	505
156	93	503
157	93	500
158	94	498
159	94	495
160	94	493
161	94	491
162	95	488
163	95	486
164	95	484
165	95	481
166	96	479
167	96	477
168	96	475
169	96	473
170	97	470
171	97	469
172	97	467
173	97	464
174	98	462
175	98	460
176	98	458
177	98	457
178	99	455
179	99	453
180	99	450
181	99	448
182	100	446
183	100	444
184	100	443
185	100	441
186	101	439
187	101	437
188	101	435
189	101	433
190	101	431
191	102	429
192	102	428
193	102	426
194	102	425
195	103	423
196	103	421
197	103	419
198	103	417
199	104	416
200	104	414
201	104	413
202	104	411
203	105	409
204	105	408
205	105	406
206	105	405
207	105	403
208	106	401
209	106	400
210	106	398
211	106	397
212	107	395
213	107	394
214	107	392
215	107	391
216	108	389
217	108	388
218	108	386
219	108	385
220	108	384
221	109	382
222	109	381
223	109	379
224	109	378
225	110	377
226	110	376
227	110	374
228	110	373
229	111	372
230	111	371
231	111	369
232	111	368
233	112	367
234	112	366
235	112	364
236	112	363
237	113	362
238	113	361
239	113	360
240	114	359
241	114	357
242	114	356
243	114	355
244	115	354
245	115	353
246	115	352
247	115	351
248	116	349
249	116	348
250	116	347
251	116	346
252	117	345
253	117	344
254	117	343
255	117	342
256	118	341
257	118	340
258	118	339
259	118	338
260	119	337
261	119	336
262	119	335
263	119	334
264	120	333
265	120	332
266	120	331
267	121	330
268	121	329
269	121	328
270	121	327
271	122	326
272	122	325
273	122	325
274	122	324
275	123	323
276	123	322
277	123	321
278	124	320
279	124	319
280	124	318
281	124	317
282	125	316
283	125	316
284	125	315
285	125	314
286	126	313
287	126	312
288	126	311
289	127	311
290	127	310
291	127	309
292	127	308
293	128	307
294	128	306
295	128	306
296	129	305
297	129	304
298	129	303
299	129	303
300	130	302
301	130	301
302	130	300
303	131	300
304	131	299
